timestamp,bid,ask,spread
2025-08-06 21:35:28,1.16602,1.16603,1e-05
2025-08-06 21:35:29,1.16601,1.16603,2e-05
2025-08-06 21:35:30,1.16602,1.16603,1e-05
2025-08-06 21:35:30,1.16601,1.16603,2e-05
2025-08-06 21:35:35,1.16598,1.166,2e-05
2025-08-06 21:35:35,1.166,1.16602,2e-05
2025-08-06 21:35:36,1.16601,1.16602,1e-05
2025-08-06 21:35:37,1.166,1.16602,2e-05
2025-08-06 21:35:38,1.16602,1.16603,1e-05
2025-08-06 21:35:39,1.16603,1.16604,1e-05
2025-08-06 21:35:39,1.16601,1.16603,2e-05
2025-08-06 21:35:41,1.16598,1.166,2e-05
2025-08-06 21:35:41,1.166,1.16602,2e-05
2025-08-06 21:35:43,1.16601,1.16603,2e-05
2025-08-06 21:35:50,1.16602,1.16604,2e-05
2025-08-06 21:35:51,1.16603,1.16605,2e-05
2025-08-06 21:36:09,1.16603,1.16604,1e-05
2025-08-06 21:36:13,1.16601,1.16603,2e-05
2025-08-06 21:36:14,1.16602,1.16603,1e-05
2025-08-06 21:36:22,1.166,1.16601,1e-05
2025-08-06 21:36:23,1.166,1.16602,2e-05
2025-08-06 21:36:26,1.16601,1.16602,1e-05
2025-08-06 21:36:29,1.166,1.16602,2e-05
2025-08-06 21:36:29,1.16602,1.16604,2e-05
2025-08-06 21:36:30,1.16603,1.16604,1e-05
2025-08-06 21:36:31,1.16603,1.16605,2e-05
2025-08-06 21:36:33,1.16602,1.16604,2e-05
2025-08-06 21:36:35,1.16601,1.16603,2e-05
2025-08-06 21:36:36,1.16602,1.16603,1e-05
2025-08-06 21:36:42,1.16602,1.16604,2e-05
2025-08-06 21:37:03,1.16601,1.16604,3e-05
2025-08-06 21:37:05,1.16602,1.16604,2e-05
2025-08-06 21:37:06,1.16601,1.16604,3e-05
2025-08-06 21:37:06,1.16602,1.16604,2e-05
2025-08-06 21:37:07,1.16601,1.16604,3e-05
2025-08-06 21:37:09,1.16602,1.16604,2e-05
2025-08-06 21:37:10,1.16605,1.16607,2e-05
2025-08-06 21:37:11,1.16606,1.16607,1e-05
2025-08-06 21:37:12,1.16603,1.16605,2e-05
2025-08-06 21:37:13,1.16605,1.16606,1e-05
2025-08-06 21:37:20,1.16603,1.16605,2e-05
2025-08-06 23:24:41,nan,nan,nan
2025-08-06 23:24:42,nan,nan,nan
2025-08-06 23:24:42,nan,nan,nan
2025-08-06 23:24:43,1.16539,1.16578,0.00039
