datetime,open,high,low,close,volume
2025-09-18T15:35:00-04:00,662.53,662.68,662.23,662.41,1095335
2025-09-18T15:40:00-04:00,662.41,662.62,662.15,662.39,898092
2025-09-18T15:45:00-04:00,662.39,662.45,661.95,662.2,1109447
2025-09-18T15:50:00-04:00,662.19,663.04,662.05,662.94,2439263
2025-09-18T15:55:00-04:00,662.94,662.98,662.22,662.28,4885323
2025-09-19T09:30:00-04:00,662.33,662.37,661.44,661.49,2847721
2025-09-19T09:35:00-04:00,661.5,661.69,661.32,661.68,1366798
2025-09-19T09:40:00-04:00,661.68,662.09,661.46,661.62,1234347
2025-09-19T09:45:00-04:00,661.63,662.54,661.47,662.41,977260
2025-09-19T09:50:00-04:00,662.41,662.7,662.25,662.49,910853
2025-09-19T09:55:00-04:00,662.49,662.57,661.96,662.15,706327
2025-09-19T10:00:00-04:00,662.14,662.26,661.92,662.2,665279
2025-09-19T10:05:00-04:00,662.19,662.4,661.97,662.02,515092
2025-09-19T10:10:00-04:00,662.01,662.32,661.87,662.08,544663
2025-09-19T10:15:00-04:00,662.08,662.13,661.8,661.94,542977
2025-09-19T10:20:00-04:00,661.93,662.16,661.67,662.04,442322
2025-09-19T10:25:00-04:00,662.03,662.16,661.83,661.92,520771
2025-09-19T10:30:00-04:00,661.9,662.19,661.81,662.12,386910
2025-09-19T10:35:00-04:00,662.12,662.21,661.78,661.86,350322
2025-09-19T10:40:00-04:00,661.85,661.87,661.35,661.35,478572
2025-09-19T10:45:00-04:00,661.35,661.45,660.96,661.3,611349
2025-09-19T10:50:00-04:00,661.29,661.95,661.11,661.61,1012898
2025-09-19T10:55:00-04:00,661.6,661.66,661.23,661.59,552303
2025-09-19T11:00:00-04:00,661.59,661.95,661.2,661.23,504064
2025-09-19T11:05:00-04:00,661.21,661.29,661.04,661.14,493318
2025-09-19T11:10:00-04:00,661.14,661.25,660.9,661.02,451573
2025-09-19T11:15:00-04:00,661.01,661.06,660.84,660.99,349689
2025-09-19T11:20:00-04:00,660.99,661.34,660.64,661.12,699901
2025-09-19T11:25:00-04:00,661.11,661.16,660.63,660.76,334313
2025-09-19T11:30:00-04:00,660.74,660.74,660.37,660.66,518187
2025-09-19T11:35:00-04:00,660.65,660.91,660.55,660.74,313660
2025-09-19T11:40:00-04:00,660.75,661.31,660.74,661.09,341685
2025-09-19T11:45:00-04:00,661.08,661.25,660.97,661.17,400334
2025-09-19T11:50:00-04:00,661.17,661.57,661.13,661.55,355670
2025-09-19T11:55:00-04:00,661.55,661.62,661.37,661.6,499875
2025-09-19T12:00:00-04:00,661.59,662.11,661.57,662.02,656605
2025-09-19T12:05:00-04:00,662.01,662.21,661.95,662.03,540442
2025-09-19T12:10:00-04:00,662.04,662.38,662.04,662.25,455229
2025-09-19T12:15:00-04:00,662.25,662.43,662.2,662.4,442706
2025-09-19T12:20:00-04:00,662.4,662.68,662.31,662.51,531893
2025-09-19T12:25:00-04:00,662.51,662.58,662.4,662.49,399317
2025-09-19T12:30:00-04:00,662.48,662.56,662.13,662.24,431681
2025-09-19T12:35:00-04:00,662.25,662.49,662.24,662.31,340339
2025-09-19T12:40:00-04:00,662.31,662.59,662.3,662.58,384936
2025-09-19T12:45:00-04:00,662.58,662.76,662.46,662.57,475270
2025-09-19T12:50:00-04:00,662.57,662.58,662.38,662.47,250707
2025-09-19T12:55:00-04:00,662.47,662.55,662.39,662.53,267490
2025-09-19T13:00:00-04:00,662.54,662.66,662.5,662.52,242906
2025-09-19T13:05:00-04:00,662.52,662.56,662.26,662.3,340944
2025-09-19T13:10:00-04:00,662.32,662.42,662.21,662.42,292075
2025-09-19T13:15:00-04:00,662.41,662.5,662.38,662.41,244350
2025-09-19T13:20:00-04:00,662.41,662.51,662.33,662.46,207822
2025-09-19T13:25:00-04:00,662.47,662.5,662.24,662.48,245251
2025-09-19T13:30:00-04:00,662.48,662.78,662.45,662.65,383474
2025-09-19T13:35:00-04:00,662.64,662.79,662.55,662.7,317273
2025-09-19T13:40:00-04:00,662.71,662.84,662.54,662.74,319415
2025-09-19T13:45:00-04:00,662.74,662.83,662.66,662.77,335384
2025-09-19T13:50:00-04:00,662.77,662.89,662.68,662.73,321695
2025-09-19T13:55:00-04:00,662.73,662.77,662.6,662.69,370539
2025-09-19T14:00:00-04:00,662.69,662.74,662.51,662.72,404002
2025-09-19T14:05:00-04:00,662.74,662.78,662.62,662.7,538574
2025-09-19T14:10:00-04:00,662.69,662.74,662.6,662.71,491778
2025-09-19T14:15:00-04:00,662.72,662.83,662.55,662.61,514455
2025-09-19T14:20:00-04:00,662.61,662.75,662.45,662.45,426549
2025-09-19T14:25:00-04:00,662.44,662.56,662.32,662.53,482267
2025-09-19T14:30:00-04:00,662.52,662.76,662.42,662.68,472088
2025-09-19T14:35:00-04:00,662.68,662.83,662.66,662.74,287917
2025-09-19T14:40:00-04:00,662.74,662.87,662.69,662.8,351177
2025-09-19T14:45:00-04:00,662.8,662.85,662.56,662.63,293395
